#user_id,date,weight
1,2022-02-28T12:58:00.000Z,204.4
1,2022-03-14T13:05:00.000Z,204.4
1,2022-03-21T11:52:00.000Z,211.6
1,2022-03-28T12:46:00.000Z,214.0
1,2022-04-04T12:21:00.000Z,207.8
1,2022-04-25T11:48:00.000Z,211.6
1,2022-05-02T12:45:00.000Z,212.8
1,2022-05-09T12:47:00.000Z,209.4
1,2022-05-30T10:57:00.000Z,218.2
1,2022-06-06T12:08:00.000Z,218.8
1,2022-06-13T12:16:00.000Z,220.0
1,2022-06-20T11:41:00.000Z,215.2
1,2022-07-04T11:03:00.000Z,222.8
1,2022-07-11T11:48:00.000Z,215.2
1,2022-07-18T11:36:00.000Z,211.0
1,2022-08-22T10:22:00.000Z,225.4
1,2022-09-05T12:11:00.000Z,224.0
1,2022-09-12T11:20:00.000Z,228.8
1,2022-09-19T10:40:00.000Z,229.0
1,2022-09-26T11:06:00.000Z,234.0
1,2022-10-03T10:47:00.000Z,232.6
1,2022-10-10T10:08:00.000Z,237.2
1,2022-10-18T10:08:00.000Z,237.4
1,2022-10-24T11:24:00.000Z,239.4
1,2022-11-01T10:14:00.000Z,237.4
1,2022-11-07T12:04:00.000Z,237.8
1,2022-12-05T11:55:27.000Z,240.7
1,2022-12-12T12:07:23.000Z,250.4
1,2022-12-19T11:14:33.000Z,255.5
1,2023-01-02T14:08:43.000Z,252.4
1,2023-01-09T11:22:17.000Z,255.1
1,2023-01-30T12:45:53.000Z,251.1
1,2023-02-06T11:06:48.000Z,252.4
1,2023-02-20T13:16:58.000Z,248.7
1,2023-02-27T13:41:36.869Z,249.2
1,2023-03-06T13:12:00.000Z,245.4
